cell,sym,strategy,bar_close,action,price,qty,pnl,cost,direction,funding
E19,ETH,BRK24,1787929200000,enter,2474.47,0.8417766494461334,0.0,1.666360852603979,-1,0.0
E20,ADA,BRK24GATE,1787929200000,enter,0.2059,6221.681696451786,0.0,1.409148687429365,-1,0.0
E20,HEMI,BRK24GATE,1787929200000,enter,0.01285,23070.99252103557,0.0,0.32610847928483777,1,0.0
E20,KORU,BRK24GATE,1787929200000,enter,21.71,39.230931032999216,0.0,0.9368738639990544,1,0.0
E20,NEAR,BRK24GATE,1787929200000,enter,1.843,608.0108339418002,0.0,1.2326203636502118,-1,0.0
E20,ONDO,BRK24GATE,1787929200000,enter,0.3633,3395.6181289977376,0.0,1.356990872891366,-1,0.0
E20,SPCX,BRK24GATE,1787929200000,enter,142.8,20.114291581092054,0.0,3.1595529215579403,1,0.0
E19,ADA,BRK24,1787932800000,exit,0.2114,6220.121400901111,-34.210667704956144,1.4464270305655444,-1,0.0
E19,HEMI,BRK24,1787932800000,enter,0.013524,21575.12138442413,0.0,0.3209601357632471,1,0.0
E19,1000PEPE,BRK24,1787932800000,funding,0.003725,295976.1534995313,0.07556611571419561,0.0,-1,0.07556611571419561
E19,AAVE,BRK24,1787932800000,funding,123.08,9.447852096988907,0.04478103140611067,0.0,-1,0.04478103140611067
E19,BTC,BRK24,1787932800000,funding,78285.0,0.033106580654659046,0.17307697595220786,0.0,-1,0.17307697595220786
E19,DOGE,BRK24,1787932800000,funding,0.08584,17089.0443586494,0.023793500268847655,0.0,-1,0.023793500268847655
E19,ETH,BRK24,1787932800000,funding,2470.19,0.8417766494461334,0.1162147743461528,0.0,-1,0.1162147743461528
E19,HEMI,BRK24,1787932800000,funding,0.012781,21575.12138442413,-0.01378758132071624,0.0,1,-0.01378758132071624
E20,ADA,BRK24GATE,1787932800000,exit,0.2114,6221.681696451786,-34.21924933048485,1.4467898616928985,-1,0.0
E20,XAU,BRK24GATE,1787932800000,enter,4533.53,0.8043021418792372,0.0,4.010960678201156,-1,0.0
E20,HEMI,BRK24GATE,1787932800000,funding,0.012781,23070.99252103557,-0.014743517770567783,0.0,1,-0.014743517770567783
E20,NEAR,BRK24GATE,1787932800000,funding,1.834,608.0108339418002,0.11150918694492618,0.0,-1,0.11150918694492618
E20,ONDO,BRK24GATE,1787932800000,funding,0.3607,3395.6181289977376,0.05299707259653277,0.0,-1,0.05299707259653277
E20,XAU,BRK24GATE,1787932800000,funding,4528.04,0.8043021418792372,0.35636111566987916,0.0,-1,0.35636111566987916
E21,HEMI,MR,1787932800000,enter,0.013455,33112.51013092654,0.0,0.49008170619277824,-1,0.0
E21,KORU,MR,1787932800000,enter,21.73,56.17962071349086,0.0,1.3428614739145721,-1,0.0
E21,MU,MR,1787932800000,enter,940.8,2.631838642020507,0.0,2.7236371738541822,-1,0.0
E21,SNDK,MR,1787932800000,enter,1495.8,1.3013410217280594,0.0,2.1412004903309145,-1,0.0
E21,SPCX,MR,1787932800000,enter,142.63,28.557568434212317,0.0,4.480482584348874,-1,0.0
E21,HEMI,MR,1787932800000,funding,0.012781,33112.51013092654,0.021160549599168608,0.0,-1,0.021160549599168608
E20,KORU,BRK24GATE,1787936400000,exit,20.85,39.230931032999216,-33.7386006883793,0.8997614032418372,1,0.0
E20,SPCX,BRK24GATE,1787936400000,exit,138.98,20.114291581092054,-76.83659383977208,3.0750326683341913,1,0.0
E20,1000PEPE,BRK24GATE,1787936400000,enter,0.003714,265250.04670305725,0.0,1.08365254080067,-1,0.0
E20,AAVE,BRK24GATE,1787936400000,enter,122.65,8.214122525866928,0.0,1.1082083405773366,-1,0.0
E21,1000PEPE,MR,1787936400000,enter,0.003725,402274.36396538833,0.0,1.6483192063481789,1,0.0
E21,KORU,MR,1787940000000,exit_signal,20.9,56.17962071349086,46.62908519219752,1.291569480203155,-1,0.0
E21,SPCX,MR,1787940000000,exit_signal,139.52,28.557568434212317,88.81403783039988,4.382787142735434,-1,0.0
E21,AAVE,MR,1787940000000,enter,122.94,12.70489397533689,0.0,1.7181336318607092,1,0.0
