day,ts,equity,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,n_pos,bars,fills
2026-08-28,1787882400000,20000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
2026-08-28,1787914800000,79948.50214742,9959.95096834,9990.02052984,10000.0,9975.9304412,10010.5876372,10000.0,10017.98794103,9994.02462983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,7
2026-08-28,1787918400000,79935.96307604,9969.36961431,9982.82577848,10000.0,9968.64641912,10003.10869328,10000.0,10017.98794103,9994.02462983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
2026-08-29,1787968800000,110193.47561407,9957.50038553,10101.91824032,10000.0,10048.62746234,9905.71666853,10051.80869383,10045.0146091,9994.02462983,10051.37361492,9952.57078203,10084.92052765,0.0,0.0,0.0,0.0,25,14,65
2026-08-29,1787990400000,110137.67413993,9959.90250953,10077.72474761,10000.0,10048.24385308,9882.18910789,10094.49519699,10045.0146091,9994.02462983,10068.36098554,9982.93740036,9984.78110001,0.0,0.0,0.0,0.0,24,6,29
2026-08-29,1787994000000,110124.60478854,9959.90250953,10091.10379609,10000.0,10046.66892938,9879.4878801,10096.41025737,10045.0146091,9994.02462983,10054.00371814,9972.12294379,9985.86551521,0.0,0.0,0.0,0.0,24,1,2
2026-09-01,1788228000000,107083.5521028,10055.34614961,9887.37657841,9748.65838518,9807.78223269,10044.90239914,9407.36400317,9958.26246841,8835.65667329,9517.77517054,9789.84770329,10030.58033906,0.0,0.0,0.0,0.0,22,65,371
2026-09-01,1788231600000,127136.10000365,10071.58356376,9900.98661813,9764.40055866,9820.21411144,10044.90239914,9407.36400317,9958.26246841,8835.65667329,9551.82784733,9804.60498727,9976.29677306,10000.0,10000.0,0.0,0.0,22,1,0
