day,row_type,phase,universe_id,n_coins,day_diff,basis_diff,cost,notional_base,equity,equity_funding
2026-08-27,anchor,spec_v2,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-08-28,daily,spec_v2,b682c62b04207658a438f4529b2416f1a90faca47d098d4968255f4c56ad8e83,23,0.000196878731,0.000283173195,0.0012,0.9988,0.999280051926,0.998996878731
