trial_id,tf,entry,filt,spacing,kmax,tp,stop,mean_daily_ret,ann_mean_ret,cum_net_return,sharpe_ann,mdd,n_trades,n_wins,win_rate,final_eq_BTC,final_eq_ETH,final_eq_SOL
AD|e=E1|f=0|sp=-|k=0|tp=MID|sl=-|15m,15m,E1,0,,0,MID,,-0.00018940127831686344,-0.06913146658565515,-0.3239534747928414,-2.566520312395709,-0.3265957560445606,10883,6565,0.6032344022787834,0.6639970831267299,0.6399202804915233,0.7243645015542365
AD|e=E1|f=0|sp=-|k=0|tp=MID|sl=6|15m,15m,E1,0,,0,MID,6.0,-0.0002536876693768788,-0.09259599932256075,-0.4078272911166526,-3.2374483396785103,-0.41014187270822844,12294,7312,0.594761672360501,0.575204578095866,0.5539649131820445,0.6482719726238638
AD|e=E1|f=0|sp=-|k=0|tp=MID|sl=10|15m,15m,E1,0,,0,MID,10.0,-0.00020848218404959998,-0.07609599717810399,-0.3500554609791654,-2.7354479492370767,-0.3525958166415505,11394,6872,0.6031244514656837,0.628924537846566,0.6034937276083782,0.7210411349262237
AD|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=-|15m,15m,E1,0,,0,A0.5,,-3.0230342514324463e-06,-0.001103407501772843,-0.008707467483779263,-0.036811054614873294,-0.06879335029820399,565,513,0.9079646017699115,1.000332489454426,0.9874760641886361,0.9865740952932192
AD|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=6|15m,15m,E1,0,,0,A0.5,6.0,-0.00029475496490637723,-0.10758556219082768,-0.455734730342375,-3.842344140663796,-0.457318726092259,13317,10273,0.7714199894871218,0.4724131281735683,0.48278766437724424,0.7019114603679715
AD|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=10|15m,15m,E1,0,,0,A0.5,10.0,-0.0002295135949174798,-0.08377246214488013,-0.3780614679777995,-2.5799445716812826,-0.3812201869646916,10758,8781,0.8162297824874511,0.5641426960246181,0.5760647143212122,0.7368773642029136
AD|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=-|15m,15m,E1,0,,0,A1.0,,-1.2393441899836859e-06,-0.0004523606293440453,-0.005104515214802707,-0.014975569393821758,-0.0695885446065897,306,303,0.9901960784313726,1.0040081584012845,1.0007675493293948,0.9804548783764688
AD|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=6|15m,15m,E1,0,,0,A1.0,6.0,-0.0002379322186364675,-0.08684525980231063,-0.3886666741359136,-2.7251255527707836,-0.392587576045744,10934,8503,0.7776659959758552,0.5403184133109402,0.5466746416836771,0.76521271903072
AD|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=10|15m,15m,E1,0,,0,A1.0,10.0,-0.00015719983858226058,-0.057377941082525113,-0.2787462131907147,-1.6215147463982735,-0.286800790469117,8326,7060,0.8479461926495316,0.663967423565366,0.7013458645637788,0.800183963636361
AD|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=-|15m,15m,E1,0,,0,A2.0,,-2.3423134809459577e-06,-0.0008549444205452746,-0.007310114267703449,-0.0285732361265895,-0.07033727250989863,159,156,0.9811320754716981,1.0113324173164473,1.0023615051559795,0.9653073996941653
AD|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=6|15m,15m,E1,0,,0,A2.0,6.0,-0.00016020308661474084,-0.0584741266143804,-0.28362133582793725,-1.525808911543944,-0.2941081901565624,8050,5552,0.6896894409937888,0.6572018918725471,0.6576240951299004,0.8391120518406526
AD|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=10|15m,15m,E1,0,,0,A2.0,10.0,-7.115563092499028e-05,-0.02597180528762145,-0.14019321284778286,-0.6331672408709311,-0.17385087424350376,5591,4418,0.7901985333571812,0.826273495363431,0.7798092894627523,0.9755796581772078
AD|e=E1|f=0|sp=0.5|k=1|tp=MID|sl=-|15m,15m,E1,0,0.5,1,MID,,-0.00026469115030564093,-0.09661226986155894,-0.42341672875810776,-2.0360738015935245,-0.4302444130237878,10882,7468,0.6862709060834405,0.542907102966047,0.496848367678706,0.7029085996234562
AD|e=E1|f=0|sp=0.5|k=1|tp=MID|sl=6|15m,15m,E1,0,0.5,1,MID,6.0,-0.000355764885411801,-0.12985418317530736,-0.5221896236622037,-2.6175548052897537,-0.5249995765614466,11986,8122,0.6776238945436343,0.4449031683677179,0.39205201949715973,0.6186343474852118
AD|e=E1|f=0|sp=0.5|k=1|tp=MID|sl=10|15m,15m,E1,0,0.5,1,MID,10.0,-0.0003200160987077265,-0.11680587602832018,-0.4857692600679069,-2.3431712859704557,-0.48957110300638707,11290,7733,0.6849424269264837,0.4696827125195134,0.43872344240717115,0.6498643803721805
AD|e=E1|f=0|sp=0.5|k=1|tp=A0.5|sl=-|15m,15m,E1,0,0.5,1,A0.5,,-5.678884912311469e-06,-0.002072792992993686,-0.022204530621952934,-0.03350988226892371,-0.13259605794578166,780,701,0.8987179487179487,0.9992546347429245,0.9709538780330753,0.9583941564891013
AD|e=E1|f=0|sp=0.5|k=1|tp=A0.5|sl=6|15m,15m,E1,0,0.5,1,A0.5,6.0,-0.00041785089430170777,-0.15251557642012334,-0.5789290096509035,-3.4046594272652118,-0.5819737607130715,13637,11004,0.8069223436239642,0.3669916120984859,0.3129974041057094,0.6428146696678021
AD|e=E1|f=0|sp=0.5|k=1|tp=A0.5|sl=10|15m,15m,E1,0,0.5,1,A0.5,10.0,-0.0003940748073538174,-0.14383730468414335,-0.5592183020749404,-2.577581180675342,-0.5649342445200743,11616,9754,0.8397038567493113,0.40659616661316134,0.36597522472786076,0.5629966224520684
AD|e=E1|f=0|sp=0.5|k=1|tp=A1.0|sl=-|15m,15m,E1,0,0.5,1,A1.0,,7.181821273829844e-06,0.002621364764947893,0.003923471081835217,0.042237807967079925,-0.1371686207523014,502,498,0.9920318725099602,1.0422846798182226,0.9968650483400646,0.9687916509619374
