trial_id,mean_daily_ret,sharpe_ann,n_trades,n_fills,final_eq_BTC,final_eq_ETH,final_eq_SOL
AD|e=E2|f=1|sp=1|k=3|tp=A1.0|sl=10|1h,-4.885112012573589e-05,-0.6531555825207119,161,311,0.997052339323281,0.8818654466980574,0.8292331974934718
AD|e=E2|f=1|sp=1|k=3|tp=A2.0|sl=-|1h,7.811430727836374e-05,0.42123000845776015,115,286,1.3043644150113036,1.0362298625096358,1.0960047420876837
AD|e=E2|f=1|sp=1|k=3|tp=A2.0|sl=6|1h,-3.894208995884629e-05,-0.5940225532986669,159,371,0.9849161998553981,0.8680869984460585,0.9102808808154507
AD|e=E2|f=1|sp=1|k=3|tp=A2.0|sl=10|1h,-3.43761079416922e-05,-0.3483188475555332,156,376,1.0203419198721577,0.9060977970395367,0.8541868662478291
AD|e=E2|f=1|sp=1.5|k=1|tp=MID|sl=-|1h,-1.8195265246503502e-06,-0.09116797929888965,159,229,0.9998735754508218,0.9760811715435339,1.0122140260252634
AD|e=E2|f=1|sp=1.5|k=1|tp=MID|sl=6|1h,-1.0183773227575737e-05,-0.43438558848549597,159,227,0.9913819548375571,0.9632395050471961,0.9820148234097912
AD|e=E2|f=1|sp=1.5|k=1|tp=MID|sl=10|1h,-2.9511187548827405e-06,-0.14791632834717133,159,227,0.9988314792891988,0.9703173849539221,1.0122140260252634
AD|e=E2|f=1|sp=1.5|k=1|tp=A0.5|sl=-|1h,3.0533617706358225e-05,0.4650681923857403,167,214,1.0506327793021464,1.0485356693375538,1.0811817536197494
AD|e=E2|f=1|sp=1.5|k=1|tp=A0.5|sl=6|1h,-1.1973845432755208e-05,-0.5461126295385108,180,226,0.9780901134653268,0.9650302039902416,0.982695292178769
AD|e=E2|f=1|sp=1.5|k=1|tp=A0.5|sl=10|1h,-1.5822956533101755e-05,-0.6166974091748518,180,227,0.9762711355598367,0.9429316550306042,0.9836534245221629
AD|e=E2|f=1|sp=1.5|k=1|tp=A1.0|sl=-|1h,1.9890821876874152e-05,0.25229754750291683,120,172,1.0956496074944808,0.9898162913422245,1.0244687115989988
AD|e=E2|f=1|sp=1.5|k=1|tp=A1.0|sl=6|1h,-8.436362629896836e-06,-0.284393185288837,163,227,1.0032213546466644,0.9478731191785787,0.9958965281254802
AD|e=E2|f=1|sp=1.5|k=1|tp=A1.0|sl=10|1h,-2.2377522320815955e-05,-0.6070849407337403,163,228,0.9926480272762165,0.9300808178217527,0.940208161960015
AD|e=E2|f=1|sp=1.5|k=1|tp=A2.0|sl=-|1h,4.679331487478878e-05,0.5288898509971446,114,181,1.18421029721817,1.0489711992941808,1.0526912042159493
AD|e=E2|f=1|sp=1.5|k=1|tp=A2.0|sl=6|1h,-1.0848879954341667e-05,-0.27271825066622063,159,247,1.0232905429865429,0.9541473601974471,0.9540036563678939
AD|e=E2|f=1|sp=1.5|k=1|tp=A2.0|sl=10|1h,-1.827078812412718e-05,-0.36786834989127404,159,248,1.0152185943419456,0.9660686083972955,0.9055117281512618
AD|e=E2|f=1|sp=1.5|k=2|tp=MID|sl=-|1h,2.8488302909619674e-06,0.1311862276176906,159,260,1.010099330703848,0.980539274253594,1.0263705833317187
AD|e=E2|f=1|sp=1.5|k=2|tp=MID|sl=6|1h,-9.42655511359097e-06,-0.3361973141811225,159,252,1.006462983313984,0.9592366255868036,0.9751860092158533
AD|e=E2|f=1|sp=1.5|k=2|tp=MID|sl=10|1h,-3.5225440123652306e-08,-0.0015694730018577189,159,256,1.0080903165272255,0.9651346850957958,1.0263705833317187
AD|e=E2|f=1|sp=1.5|k=2|tp=A0.5|sl=-|1h,3.2829953970757126e-05,0.7152131597092685,179,251,1.05596798193124,1.080742097936421,1.067068438078878
AD|e=E2|f=1|sp=1.5|k=2|tp=A0.5|sl=6|1h,-2.0207102734221315e-05,-0.7824259863179939,180,247,0.951056167873677,0.9361206961410429,0.9898319363098975
AD|e=E2|f=1|sp=1.5|k=2|tp=A0.5|sl=10|1h,-1.53658281860331e-05,-0.4493171893164577,180,250,0.9688496001107278,0.901932207668218,1.0377998014600496
AD|e=E2|f=1|sp=1.5|k=2|tp=A1.0|sl=-|1h,2.9877237712999504e-05,0.3038068450144492,134,225,1.119556978320761,0.9776745373703338,1.0695620900402332
AD|e=E2|f=1|sp=1.5|k=2|tp=A1.0|sl=6|1h,-3.0900146731992136e-05,-0.7666384887556109,163,261,0.9797073842529329,0.9043538044137425,0.9286839503971462
AD|e=E2|f=1|sp=1.5|k=2|tp=A1.0|sl=10|1h,-3.6850428666367445e-05,-0.65212646887902,162,262,0.9575338111920092,0.8709702619165648,0.9475825915414542
